ANO;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;HABITACIONES;CAMAS;NUM_EMP
2019;76.330;76364;76;ACTIVO;TRANSPORTES ESPECIALES JAMUNDI ¿¿TEJ.¿¿S.A.S.;VALLE DEL CAUCA;JAMUNDI;EMPRESA DE TRANSPORTE TERRESTRE AUTOMOTOR;TRANSPORTE TERRESTRE AUTOMOTOR ESPECIAL;0;0;10
2019;76.640;76364;76;ACTIVO;REPRESENTACIONES AR 912;VALLE DEL CAUCA;JAMUNDI;ARRENDADORES DE VEHÍCULOS PARA TURISMO NACIONAL E INTERNACIONAL;ARRENDADORES DE VEHICULOS PARA TURISMO NACIONAL E INTERNACIONAL;0;0;2
2020;17.595;76364;76;ACTIVO;HOTEL JAMUNDI REAL;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;39;45;3
2020;18.433;76364;76;ACTIVO;LUCHO TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2020;19.559;76364;76;ACTIVO;HOSTAL PANORAMA;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOSTAL;25;31;3
2020;19.560;76364;76;ACTIVO;HOSTAL PARAISO JAMUNDI;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOSTAL;25;31;3
2020;26.177;76364;76;ACTIVO;HOSTAL PORTAL DEL SOL;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOSTAL;32;35;3
2020;26.662;76364;76;ACTIVO;GRUPO AVENTURA;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2020;26.724;76364;76;ACTIVO;XAMUNDI TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2020;27.475;76364;76;ACTIVO;REPRESENTACIONES TURISTICAS CARLOS MICOLTA;VALLE DEL CAUCA;JAMUNDI;OFICINAS DE REPRESENTACION TURÍSTICA;OFICINA DE REPRESENTACION TURÍSTICA;0;0;1
2020;28.340;76364;76;ACTIVO;TURISMO JJC;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2020;29.746;76364;76;ACTIVO;LAGOGRANDE HOTEL, RESORT Y CENTRO DE CONVENCIONES;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;16;40;19
2020;35.394;76364;76;ACTIVO;JEYVER TURES;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;3
2020;39.927;76364;76;ACTIVO;OPERADORES DE TURISMO LOS BULLICIOSOS S.A.S.;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2020;42.124;76364;76;ACTIVO;TROPICAL TRAVEL TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2020;42.137;76364;76;ACTIVO;VIVIANA MARTINEZ SALAS;VALLE DEL CAUCA;JAMUNDI;GUIA DE TURISMO;GUIA DE TURISMO;0;0;1
2020;47.198;76364;76;ACTIVO;TIQUETESVAKANOS.COM S.A.S;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;1
2020;51.100;76364;76;ACTIVO;DREAM TRAVELING;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;1
2020;55.515;76364;76;ACTIVO;DELITUR TRAVEL;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;3
2020;60.722;76364;76;ACTIVO;SEDE VACACIONAL SINTRABANCOL;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;OTROS TIPOS DE VIVIENDA TURÍSTICA;7;14;0
2020;60.781;76364;76;ACTIVO;MACA TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;1
2020;62.418;76364;76;ACTIVO;LA SILVESTRE FINCA AGROTURISTICA;VALLE DEL CAUCA;JAMUNDI;PARQUES TEMÁTICOS;PARQUES TEMÁTICOS;0;0;9
